emergency_type,description,priority
Earthquake,A powerful earthquake has caused widespread destruction near the railway station around twenty minutes ago. Many people may be trapped.,Critical
Other,A critical public safety situation is developing near the shopping complex a few minutes ago. Immediate emergency response is needed.,Critical
Medical,Someone has collapsed near the bridge earlier today. The person requires urgent medical attention.,High
Crime,Multiple people are being threatened during a violent incident near the hospital around twenty minutes ago. Emergency police response is required.,Critical
Other,A life-threatening emergency is affecting near the market during the night. Immediate rescue and emergency response are required.,Critical
Storm,A powerful storm is affecting in the nearby village about ten minutes ago. Residents are being advised to evacuate.,High
Flood,"Water has collected on the road near the bridge during the night, but traffic is still moving slowly.",Low
Flood,Minor waterlogging was reported near the main road during the night. Residents are able to move around.,Low
Storm,Moderate storm activity is affecting in a crowded street during the evening. No injuries are reported.,Low
Other,A minor emergency situation was reported near the hospital less than one hour ago. The situation is currently stable.,Low
Storm,A powerful storm is affecting near the bus stand a few minutes ago. Residents are being advised to evacuate.,High
Other,A major safety problem is affecting near the highway around twenty minutes ago. People are being moved to a safer area.,High
Earthquake,Strong shaking was reported near the market around twenty minutes ago. Some buildings have visible damage.,Medium
Earthquake,An earthquake caused minor damage near the railway station during the night. Residents need assistance.,Medium
Fire,A vehicle and nearby structure are on fire in the residential area earlier today. Emergency assistance is urgently needed.,High
Fire,A building is fully engulfed in flames near the school during the evening. People are trapped and require immediate rescue.,Critical
Flood,Water levels have increased significantly near the bridge earlier today. Residents are requesting assistance.,Medium
Fire,A large fire is spreading rapidly near the railway station a few minutes ago. Several people are trying to evacuate.,High
Accident,A high-speed collision happened near the market less than one hour ago. Multiple injured people require medical help.,High
Earthquake,A weak earthquake was reported in the city center during the afternoon. The situation appears stable.,Low
Medical,A person is having difficulty walking and needs medical assistance near the office area during the afternoon.,Medium
Fire,A minor fire incident occurred near the school a few minutes ago. People nearby have moved away from the area.,Low
Flood,A serious flood has affected near the market a few minutes ago. Residents are struggling to evacuate.,High
Medical,A person has suffered a serious medical emergency near the highway about ten minutes ago. Immediate medical assistance is needed.,High
Fire,An electrical fire is burning in the residential area during the evening. Nearby residents are requesting help.,Medium
Accident,A vehicle has overturned after an accident near the school earlier today. People are trapped inside.,High
Fire,A vehicle and nearby structure are on fire near the shopping complex about ten minutes ago. Emergency assistance is urgently needed.,High
Accident,A vehicle has overturned after an accident near the bridge during the morning. People are trapped inside.,High
Medical,A serious medical condition was reported near the bridge around twenty minutes ago. Emergency assistance is required.,High
Crime,A violent attack involving multiple people is occurring in a crowded street about ten minutes ago. People are in immediate danger.,Critical
Flood,A moderate flood is affecting in a residential building around twenty minutes ago. Transportation is being disrupted.,Medium
Flood,A serious flood has affected in the city center during the afternoon. Residents are struggling to evacuate.,High
Landslide,A large landslide has blocked the main road near the highway about ten minutes ago. Several people are stranded.,High
Flood,Flood water has entered several streets in the residential area during the morning. Movement is becoming difficult.,Medium
Other,A public safety problem was reported in the nearby village less than one hour ago. Some assistance is required.,Medium
Fire,A fire has started near the market a few minutes ago. Flames are visible and nearby people are moving away.,Medium
Fire,A massive fire is spreading across several buildings in the city center earlier today. Many people are trapped inside.,Critical
Crime,A violent confrontation is taking place in the city center about ten minutes ago. Nearby people are in danger.,High
Earthquake,A strong earthquake has caused significant damage in a residential building around twenty minutes ago. Several buildings are affected.,High
Fire,A large fire has spread to nearby rooms near the shopping complex during the night. Multiple people may be at risk.,High
Fire,A massive fire is spreading across several buildings near the railway station less than one hour ago. Many people are trapped inside.,Critical
Fire,A fire has started near the bridge about ten minutes ago. Flames are visible and nearby people are moving away.,Medium
Medical,A person needs routine medical assistance near the bridge about ten minutes ago. No immediate danger is reported.,Low
Medical,A person is unconscious but breathing in the city center during the morning. Immediate medical support is needed.,High
Crime,Suspicious behavior was noticed in the nearby village during the morning. Residents are requesting police assistance.,Low
Earthquake,Moderate earthquake activity affected near the highway during the night. Roads may be partially blocked.,Medium
Storm,Strong winds have damaged buildings and trees near the office area during the morning. People need assistance.,High
Crime,Suspicious behavior was noticed near the railway station during the afternoon. Residents are requesting police assistance.,Low
Other,A local emergency situation is developing near the railway station a few minutes ago. Residents need support.,Medium
Earthquake,Moderate earthquake shaking was felt near the bus stand during the evening. Some objects have fallen.,Medium
Storm,Extreme storm conditions have put many residents in immediate danger in the residential area about ten minutes ago.,Critical
Crime,An armed attacker is threatening people near the railway station about ten minutes ago. Immediate police intervention is required.,Critical
Crime,A violent attack involving multiple people is occurring in the residential area during the evening. People are in immediate danger.,Critical
Storm,Extreme storm conditions have put many residents in immediate danger near the school around twenty minutes ago.,Critical
Flood,Flood water has entered several streets near the hospital during the night. Movement is becoming difficult.,Medium
Crime,A serious armed crime has been reported near the office area around twenty minutes ago. The suspect may still be dangerous.,Critical
Accident,A motorcycle slipped and fell in the city center a few minutes ago. The rider has minor injuries.,Low
Fire,A vehicle and nearby structure are on fire in a crowded street during the afternoon. Emergency assistance is urgently needed.,High
Fire,A small fire was noticed in near the highway during the afternoon. Smoke is visible but the situation appears contained.,Low
Storm,A powerful storm is affecting in the city center a few minutes ago. Residents are being advised to evacuate.,High
Medical,A person is unconscious and not responding near the market during the afternoon. Immediate emergency medical assistance is required.,Critical
Earthquake,Heavy shaking damaged multiple structures near the market around twenty minutes ago. People need emergency assistance.,High
Flood,Drainage is blocked and water is accumulating near the highway during the night. The situation is currently manageable.,Low
Fire,A small fire was noticed in near the bridge during the night. Smoke is visible but the situation appears contained.,Low
Accident,A major crash has left multiple people trapped near the bridge during the evening. Immediate rescue is required.,Critical
Accident,A vehicle has overturned after an accident near the railway station during the night. People are trapped inside.,High
Other,A serious incident is threatening residents near the highway a few minutes ago. Immediate response is required.,High
Flood,Water levels have increased significantly in a crowded street around twenty minutes ago. Residents are requesting assistance.,Medium
Earthquake,Moderate earthquake shaking was felt in a residential building during the night. Some objects have fallen.,Medium
Storm,A moderate storm has damaged property near the shopping complex during the afternoon. Emergency assistance is requested.,Medium
Earthquake,Moderate earthquake activity affected near the main road during the morning. Roads may be partially blocked.,Medium
Storm,Wind speeds have increased near the hospital about ten minutes ago. Minor branches have fallen.,Low
Accident,Several vehicles were involved in a severe collision near the bus stand during the morning. Multiple victims require immediate rescue.,Critical
Other,A critical public safety situation is developing in a crowded street during the morning. Immediate emergency response is needed.,Critical
Fire,A large fire is spreading rapidly near the highway during the night. Several people are trying to evacuate.,High
Other,A critical public safety situation is developing near the shopping complex less than one hour ago. Immediate emergency response is needed.,Critical
Other,A major incident has placed multiple people in immediate danger in the nearby village less than one hour ago.,Critical
Flood,Minor waterlogging was reported in the city center about ten minutes ago. Residents are able to move around.,Low
Earthquake,A small earthquake was felt near the bus stand during the afternoon. Buildings appear unaffected.,Low
Earthquake,Severe earthquake damage has affected multiple buildings in the residential area around twenty minutes ago. Rescue teams are urgently needed.,Critical
Other,A small obstruction is affecting the area near the bus stand earlier today. Assistance may be required.,Low
Other,A critical public safety situation is developing near the market less than one hour ago. Immediate emergency response is needed.,Critical
Crime,A theft has been reported in the city center earlier today. Police assistance is requested.,Medium
Storm,Storm conditions are worsening in a crowded street around twenty minutes ago. Several areas are experiencing power problems.,Medium
Earthquake,Several buildings were damaged by an earthquake near the railway station during the afternoon. Residents are evacuating.,High
Landslide,A major landslide has damaged the road and nearby property in the city center during the morning.,High
Other,A dangerous large-scale incident has occurred near the highway a few minutes ago. People are trapped and require urgent help.,Critical
Crime,An armed attacker is threatening people near the school earlier today. Immediate police intervention is required.,Critical
Earthquake,A major earthquake has caused building damage near the highway during the evening. Some people may be trapped.,High
Medical,A person needs urgent medical attention in a crowded street a few minutes ago but is currently conscious.,Medium
Fire,A moderate fire was reported in the nearby village during the night. The fire is spreading slowly.,Medium
Landslide,A large landslide has blocked the main road in the city center earlier today. Several people are stranded.,High
Medical,A serious medical condition was reported near the bus stand during the morning. Emergency assistance is required.,High
Other,A minor incident is affecting near the highway about ten minutes ago. The area remains accessible.,Low
Accident,A road accident involving two vehicles occurred near the highway around twenty minutes ago. Some people have injuries.,Medium
Earthquake,A major earthquake has caused building damage near the railway station around twenty minutes ago. Some people may be trapped.,High
Storm,A severe storm is causing major damage in the residential area about ten minutes ago. Several roads are blocked.,High
Accident,A major crash has left multiple people trapped near the main road earlier today. Immediate rescue is required.,Critical
Flood,A moderate flood is affecting near the bus stand earlier today. Transportation is being disrupted.,Medium
Flood,A major flood has completely blocked roads near the market earlier today. Many residents require immediate evacuation.,Critical
Crime,A life-threatening criminal attack is occurring near the market during the afternoon. Immediate intervention is urgently needed.,Critical
Storm,Heavy rain and moderate winds were reported near the bridge about ten minutes ago.,Low
Storm,Heavy rain and moderate winds were reported near the main road earlier today.,Low
Medical,A person has stopped responding in the city center around twenty minutes ago. Immediate emergency medical support is required.,Critical
Medical,A person is experiencing a life-threatening emergency near the bridge less than one hour ago. Immediate medical rescue is needed.,Critical
Accident,A vehicle crashed into another vehicle near the office area about ten minutes ago. Several people have minor injuries.,Medium
Storm,A storm is passing through near the market a few minutes ago. Residents are advised to stay indoors.,Low
Fire,Heavy flames are coming from a building near the railway station during the morning. Nearby residents need immediate assistance.,High
Medical,A resident has suffered a moderate medical problem near the shopping complex earlier today.,Medium
Landslide,A massive landslide has buried buildings near the bridge around twenty minutes ago. People are trapped under debris.,Critical
Other,A major emergency has been reported in the nearby village a few minutes ago. Several people may be affected.,High
Medical,A severe medical emergency has occurred in the residential area earlier today. The victim is in critical condition.,Critical
Accident,A serious accident involving multiple vehicles occurred near the highway during the afternoon. Emergency support is needed.,High
Flood,A serious flood has affected near the hospital during the afternoon. Residents are struggling to evacuate.,High
Accident,A moderate traffic accident occurred near the main road during the night. Medical assistance is requested.,Medium
Storm,Storm conditions are worsening near the school during the morning. Several areas are experiencing power problems.,Medium
Earthquake,Several buildings were damaged by an earthquake in the residential area during the morning. Residents are evacuating.,High
Other,A dangerous large-scale incident has occurred in the city center during the afternoon. People are trapped and require urgent help.,Critical
Crime,Multiple people are being threatened during a violent incident near the hospital during the afternoon. Emergency police response is required.,Critical
Other,A major emergency has been reported near the bus stand during the morning. Several people may be affected.,High
Earthquake,A major earthquake has caused building damage in a residential building during the afternoon. Some people may be trapped.,High
Landslide,Heavy soil movement has damaged roads near the bus stand during the night. Emergency assistance is needed.,High
Earthquake,A mild earthquake was felt near the main road during the evening. No damage has been reported.,Low
Accident,A road accident involving two vehicles occurred near the office area a few minutes ago. Some people have injuries.,Medium
Crime,An armed attacker is threatening people in the city center about ten minutes ago. Immediate police intervention is required.,Critical
Accident,A motorcycle and car collided near the bridge during the evening. One person appears injured.,Medium
Accident,A motorcycle slipped and fell near the bus stand a few minutes ago. The rider has minor injuries.,Low
Crime,An armed attacker is threatening people in the nearby village during the night. Immediate police intervention is required.,Critical
Storm,Extreme storm conditions have put many residents in immediate danger in a residential building earlier today.,Critical
Flood,Flood water has entered several streets near the shopping complex around twenty minutes ago. Movement is becoming difficult.,Medium
Other,A local emergency situation is developing near the main road about ten minutes ago. Residents need support.,Medium
Landslide,A huge landslide has caused widespread destruction near the shopping complex earlier today. People are trapped and require immediate rescue.,Critical
Fire,A fire has damaged part of a building near the school during the afternoon. The situation requires attention.,Medium
Accident,A catastrophic road accident occurred near the railway station around twenty minutes ago. People are trapped and critically injured.,Critical
Earthquake,Multiple structures have collapsed after a major earthquake in a residential building during the morning. Immediate rescue is required.,Critical
Landslide,Moderate soil movement was reported near the hospital during the morning. Traffic is being disrupted.,Medium
Fire,A moderate fire was reported near the bus stand during the afternoon. The fire is spreading slowly.,Medium
Landslide,Moderate soil movement was reported near the railway station during the afternoon. Traffic is being disrupted.,Medium
Crime,An armed robbery was reported in a crowded street during the night. People nearby are at risk.,High
Landslide,A small landslide has affected the edge of the road near the main road about ten minutes ago.,Low
Flood,Rapid flooding has trapped people inside homes near the bus stand earlier today. Emergency rescue is urgently required.,Critical
Storm,A moderate storm has damaged property near the railway station during the afternoon. Emergency assistance is requested.,Medium
Other,An incident is disrupting normal activity in the nearby village during the night. Assistance is requested.,Medium
Landslide,A massive landslide has buried buildings near the railway station during the afternoon. People are trapped under debris.,Critical
Medical,A person is experiencing severe pain near the market during the night. Medical assistance is needed.,Medium
Fire,A minor fire started in in the nearby village during the afternoon. Nearby residents are monitoring the situation.,Low
Landslide,Several rocks and soil have fallen near in a residential building during the evening. Residents are requesting assistance.,Medium
Flood,Rapid flooding has trapped people inside homes near the main road during the night. Emergency rescue is urgently required.,Critical
Flood,Flood water has risen above dangerous levels in the residential area a few minutes ago. Several families are stranded.,Critical
Accident,A high-speed collision happened in a crowded street about ten minutes ago. Multiple injured people require medical help.,High
Storm,Heavy rainfall and strong winds are disrupting transportation in the residential area during the evening.,Medium
Crime,A suspicious activity was noticed near the highway during the morning. No immediate threat has been reported.,Low
Medical,A person has stopped responding near the main road a few minutes ago. Immediate emergency medical support is required.,Critical
Landslide,Loose soil has moved onto the roadside in the city center around twenty minutes ago.,Low
Crime,A person was attacked near the bus stand during the night. The suspect may still be nearby.,High
Flood,Rainwater has entered a small part of the area near the shopping complex earlier today. No injuries are reported.,Low
Medical,A serious medical condition was reported in the nearby village during the afternoon. Emergency assistance is required.,High
Flood,Flood water has entered some houses in a crowded street a few minutes ago. People are moving to safer areas.,Medium
Crime,A robbery attempt was reported near the bridge during the afternoon. The suspect has left the area.,Medium
Flood,Water has entered many buildings near the school less than one hour ago. Roads are no longer safe for vehicles.,High
Accident,A severe multi-vehicle accident occurred near the market about ten minutes ago. Several people are critically injured.,Critical
Fire,A minor fire incident occurred near the market about ten minutes ago. People nearby have moved away from the area.,Low
Storm,Extreme winds and heavy rain are threatening residents near the office area during the morning. Immediate evacuation is required.,Critical
Landslide,Minor rockfall was reported near the office area during the afternoon. No injuries are known.,Low
Landslide,A moderate landslide has affected access to near the hospital around twenty minutes ago.,Medium
Fire,A minor fire started in near the bridge earlier today. Nearby residents are monitoring the situation.,Low
Earthquake,A weak earthquake was reported near the main road about ten minutes ago. The situation appears stable.,Low
Earthquake,An earthquake caused minor damage near the railway station around twenty minutes ago. Residents need assistance.,Medium
Accident,A motorcycle slipped and fell near the shopping complex a few minutes ago. The rider has minor injuries.,Low
Accident,A high-speed collision happened near the hospital earlier today. Multiple injured people require medical help.,High
Earthquake,Multiple structures have collapsed after a major earthquake near the office area earlier today. Immediate rescue is required.,Critical
Flood,Rapid flooding has trapped people inside homes near the bus stand during the afternoon. Emergency rescue is urgently required.,Critical
Medical,A person needs routine medical assistance near the highway earlier today. No immediate danger is reported.,Low
Flood,A major flood has completely blocked roads near the market less than one hour ago. Many residents require immediate evacuation.,Critical
Storm,Heavy rain and moderate winds were reported near the highway during the afternoon.,Low
Landslide,A small landslide has affected the edge of the road near the railway station earlier today.,Low
Crime,A person was attacked in the city center during the night. The suspect may still be nearby.,High
Fire,A small electrical fire was reported near the railway station less than one hour ago. No injuries have been reported.,Low
Medical,A serious medical condition was reported near the main road around twenty minutes ago. Emergency assistance is required.,High
Accident,A vehicle collision has blocked part of the road in the residential area during the evening. Injured people need assistance.,Medium
Other,A small obstruction is affecting the area near the main road during the morning. Assistance may be required.,Low
Landslide,A serious landslide has affected several structures near the bridge less than one hour ago. Residents are evacuating.,High
Landslide,Heavy soil movement has damaged roads in a crowded street less than one hour ago. Emergency assistance is needed.,High
Accident,A catastrophic road accident occurred near the bridge a few minutes ago. People are trapped and critically injured.,Critical
Fire,A massive fire is spreading across several buildings near the main road during the night. Many people are trapped inside.,Critical
Accident,A major collision is blocking the road near the school during the night. Several people need urgent assistance.,High
Fire,A minor fire started in near the hospital during the morning. Nearby residents are monitoring the situation.,Low
Storm,A powerful storm is affecting near the highway during the afternoon. Residents are being advised to evacuate.,High
Medical,Someone reported mild illness near the bus stand during the night. The person is conscious and stable.,Low
Other,A minor emergency situation was reported near the school during the evening. The situation is currently stable.,Low
Accident,A vehicle crashed into another vehicle near the bridge during the afternoon. Several people have minor injuries.,Medium
Landslide,A moderate landslide has affected access to near the shopping complex during the night.,Medium
Other,A public safety problem was reported in the city center earlier today. Some assistance is required.,Medium
Medical,A resident has suffered a moderate medical problem in a crowded street during the evening.,Medium
Landslide,Several rocks and soil have fallen near near the highway during the evening. Residents are requesting assistance.,Medium
Flood,Rapid flooding has trapped people inside homes near the shopping complex around twenty minutes ago. Emergency rescue is urgently required.,Critical
Fire,Heavy flames are coming from a building near the railway station a few minutes ago. Nearby residents need immediate assistance.,High
Storm,Storm conditions are worsening near the hospital around twenty minutes ago. Several areas are experiencing power problems.,Medium
Fire,Smoke and a small flame were noticed near the market during the evening. The fire has not spread.,Low
Landslide,A small landslide has affected the edge of the road near the market around twenty minutes ago.,Low
Earthquake,A mild earthquake was felt near the market earlier today. No damage has been reported.,Low
Fire,An electrical fire is burning near the highway about ten minutes ago. Nearby residents are requesting help.,Medium
Storm,Severe weather has caused power failures and property damage in the residential area during the evening.,High
Other,A serious incident is threatening residents in a residential building around twenty minutes ago. Immediate response is required.,High
Fire,A fire has damaged part of a building in the nearby village less than one hour ago. The situation requires attention.,Medium
Medical,A person is experiencing a life-threatening emergency in the nearby village during the evening. Immediate medical rescue is needed.,Critical
Flood,Minor waterlogging was reported near the bridge earlier today. Residents are able to move around.,Low
Earthquake,Moderate earthquake activity affected in the residential area about ten minutes ago. Roads may be partially blocked.,Medium
Crime,A dispute has escalated near the shopping complex during the morning. Authorities are requested to control the situation.,Medium
Crime,A minor property theft was reported near the main road during the night.,Low
Storm,A powerful storm is affecting near the bridge a few minutes ago. Residents are being advised to evacuate.,High
Crime,A serious armed crime has been reported near the railway station earlier today. The suspect may still be dangerous.,Critical
Storm,A storm has damaged trees near the main road during the morning. Residents need assistance.,Medium
Flood,A major flood has completely blocked roads in a residential building during the morning. Many residents require immediate evacuation.,Critical
Flood,Flood water is rising rapidly in the city center less than one hour ago. Several homes are surrounded by water.,High
Accident,A road accident involving two vehicles occurred near the market less than one hour ago. Some people have injuries.,Medium
Earthquake,A weak earthquake was reported near the bus stand during the night. The situation appears stable.,Low
Other,A dangerous large-scale incident has occurred near the hospital during the afternoon. People are trapped and require urgent help.,Critical
Medical,A severe medical emergency has occurred near the railway station about ten minutes ago. The victim is in critical condition.,Critical
Fire,A large fire has spread to nearby rooms near the bridge during the morning. Multiple people may be at risk.,High
Other,A public safety problem was reported in a crowded street during the night. Some assistance is required.,Medium
Other,A minor public safety issue was reported near the school during the afternoon. No immediate danger is visible.,Low
Landslide,Severe soil movement has buried multiple structures near the office area around twenty minutes ago. Several people may be trapped.,Critical
Accident,A high-speed accident has caused multiple serious injuries near the bridge about ten minutes ago. Emergency medical support is urgently needed.,Critical
Crime,An armed attacker is threatening people in the residential area a few minutes ago. Immediate police intervention is required.,Critical
Landslide,Severe soil movement has buried multiple structures near the shopping complex during the night. Several people may be trapped.,Critical
Storm,Strong winds and heavy rain are affecting in a crowded street during the morning. Some roads are blocked.,Medium
Earthquake,A severe earthquake has caused casualties and collapsed buildings in the residential area during the afternoon. Emergency rescue is critical.,Critical
Accident,A motorcycle slipped and fell near the hospital during the night. The rider has minor injuries.,Low
Crime,A robbery attempt was reported near the market around twenty minutes ago. The suspect has left the area.,Medium
Earthquake,A mild earthquake was felt in the residential area around twenty minutes ago. No damage has been reported.,Low
Storm,A violent storm is causing widespread destruction in a residential building around twenty minutes ago. People are trapped in damaged buildings.,Critical
Earthquake,Strong shaking was reported in the residential area during the evening. Some buildings have visible damage.,Medium
Fire,A small fire was noticed in near the hospital during the morning. Smoke is visible but the situation appears contained.,Low
Flood,Flooding has cut off access to near the hospital earlier today. Several residents need emergency assistance.,High
Landslide,Loose soil has moved onto the roadside near the shopping complex during the morning.,Low
Accident,A vehicle collision has blocked part of the road near the school about ten minutes ago. Injured people need assistance.,Medium
Other,An incident is disrupting normal activity near the hospital during the afternoon. Assistance is requested.,Medium
Crime,An armed robbery was reported near the shopping complex about ten minutes ago. People nearby are at risk.,High
Storm,A powerful storm is affecting near the hospital during the evening. Residents are being advised to evacuate.,High
Accident,A minor road accident occurred near the hospital earlier today. No serious injuries have been reported.,Low
Landslide,A landslide has deposited debris on the road near the office area during the morning.,Medium
Fire,A shop fire was reported near the railway station earlier today. Smoke is increasing and assistance is needed.,Medium
Storm,Wind speeds have increased in a residential building during the night. Minor branches have fallen.,Low
Flood,Flood water has risen above dangerous levels in a crowded street earlier today. Several families are stranded.,Critical
Storm,A major storm has caused widespread damage and injuries in a residential building a few minutes ago. Emergency rescue is urgently needed.,Critical
Storm,Wind speeds have increased in a residential building a few minutes ago. Minor branches have fallen.,Low
Crime,A suspicious activity was noticed near the bus stand during the morning. No immediate threat has been reported.,Low
Crime,Suspicious behavior was noticed in the nearby village during the afternoon. Residents are requesting police assistance.,Low
Accident,A motorcycle slipped and fell near the hospital during the morning. The rider has minor injuries.,Low
Other,A minor public safety issue was reported near the hospital around twenty minutes ago. No immediate danger is visible.,Low
Flood,Water has entered many buildings near the hospital during the night. Roads are no longer safe for vehicles.,High
Fire,A large fire has spread to nearby rooms in a crowded street about ten minutes ago. Multiple people may be at risk.,High
Flood,Heavy rain has caused flooding near the office area around twenty minutes ago. Several roads are partially blocked.,Medium
Fire,A vehicle and nearby structure are on fire near the office area around twenty minutes ago. Emergency assistance is urgently needed.,High
Storm,A storm is passing through near the school a few minutes ago. Residents are advised to stay indoors.,Low
Flood,Flood water has entered some houses in the residential area a few minutes ago. People are moving to safer areas.,Medium
Storm,A storm is passing through near the shopping complex about ten minutes ago. Residents are advised to stay indoors.,Low
Accident,A small vehicle collision happened in a crowded street during the evening. Traffic is moving slowly.,Low
Medical,A person has suffered a serious medical emergency in a crowded street during the evening. Immediate medical assistance is needed.,High
Fire,A fire has started near the highway around twenty minutes ago. Flames are visible and nearby people are moving away.,Medium
Other,A serious public safety incident is affecting near the highway a few minutes ago. Immediate assistance is needed.,High
Flood,A moderate flood is affecting near the main road during the morning. Transportation is being disrupted.,Medium
Earthquake,A severe earthquake has caused casualties and collapsed buildings near the main road during the morning. Emergency rescue is critical.,Critical
Flood,Flood water has entered some houses near the market less than one hour ago. People are moving to safer areas.,Medium
Medical,Someone is in a life-threatening medical condition in the residential area about ten minutes ago. Urgent medical intervention is needed.,Critical
Flood,Water has entered many buildings near the main road during the afternoon. Roads are no longer safe for vehicles.,High
Medical,A person needs urgent medical attention near the main road during the evening but is currently conscious.,Medium
Landslide,A massive landslide has buried buildings in a crowded street during the afternoon. People are trapped under debris.,Critical
Medical,A severe medical emergency has occurred near the hospital earlier today. The victim is in critical condition.,Critical
Landslide,A small amount of soil has fallen near near the main road earlier today. The road remains partially usable.,Low
Accident,A vehicle has overturned after an accident near the hospital during the evening. People are trapped inside.,High
Medical,Someone reported mild illness near the hospital during the afternoon. The person is conscious and stable.,Low
Accident,A catastrophic road accident occurred near the school during the evening. People are trapped and critically injured.,Critical
Landslide,A serious landslide has affected several structures in the city center around twenty minutes ago. Residents are evacuating.,High
Medical,A person needs routine medical assistance in the city center during the morning. No immediate danger is reported.,Low
Storm,A severe storm is causing major damage near the bridge during the afternoon. Several roads are blocked.,High
Earthquake,Moderate earthquake activity affected near the railway station earlier today. Roads may be partially blocked.,Medium
Crime,An armed attacker is threatening people in the residential area earlier today. Immediate police intervention is required.,Critical
Crime,An armed robbery was reported in the residential area during the afternoon. People nearby are at risk.,High
Crime,A dispute has escalated near the market less than one hour ago. Authorities are requested to control the situation.,Medium
Flood,Flood water has risen above dangerous levels near the bus stand about ten minutes ago. Several families are stranded.,Critical
Medical,A resident is experiencing mild symptoms near the railway station during the night. Assistance is requested.,Low
Earthquake,Moderate earthquake shaking was felt near the bridge about ten minutes ago. Some objects have fallen.,Medium
Flood,"Water has collected on the road near the main road during the evening, but traffic is still moving slowly.",Low
Earthquake,A major earthquake has caused building damage in a crowded street around twenty minutes ago. Some people may be trapped.,High
Storm,A major storm has caused widespread damage and injuries in a crowded street about ten minutes ago. Emergency rescue is urgently needed.,Critical
Fire,A fire has damaged part of a building in the city center during the morning. The situation requires attention.,Medium
Crime,A property break-in occurred near the highway during the afternoon. Police investigation is required.,Medium
Crime,A dispute has escalated near the main road earlier today. Authorities are requested to control the situation.,Medium
Medical,Someone is in a life-threatening medical condition in the nearby village about ten minutes ago. Urgent medical intervention is needed.,Critical
Landslide,Severe soil movement has buried multiple structures in the nearby village during the evening. Several people may be trapped.,Critical
Other,A major emergency has been reported near the bridge during the morning. Several people may be affected.,High
Flood,A moderate flood is affecting near the main road about ten minutes ago. Transportation is being disrupted.,Medium
Landslide,Minor debris was found near near the main road a few minutes ago. The situation is currently manageable.,Low
Accident,A minor traffic accident was reported in the nearby village during the night. Assistance may be needed.,Low
Landslide,Loose soil has moved onto the roadside in a residential building during the night.,Low
